Record Type;PO Number;PO Number2;PO Number1;Chg;Com;Type;Conf;Order Date;Buyer;Account Number;Supplier;Curr;Item;Commodity Code;Description;Qty;Un;Order Value;Amount Invoiced;;WBS Code;Contract;Remarks
ttOrder;3093/M00005;3093/M00005;;;;;;;;;Reali Supply;;5;MATS-001;Vented Hard Hat Type 1 with Georgiou Pad Print;1;EA;13.82;13.8;;N003001;;
ttOrder;3093/M00006;3093/M00006;3093/M00006;V001;Y;N;Y;21/08/2023;bstormon;EUR003;Europcar WA;AUD;1;OTH01;Other Charges (Hire Desk Use Only);0;NO;0;0;;N002110;3093;Order Complete
ttOrder;3093/M00006;3093/M00006;;;;;;;;;Europcar WA;;2;MATS-001;Car hire;645.26;EA;645.26;0;;N002110;;
ttOrder;3093/M00007;3093/M00007;3093/M00007;;Y;N;Y;10/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot;1;EA;192.6;192.6;;N003001;3093;Order Complete
ttOrder;3093/M00007;3093/M00007;;;;;;;;;Reali Supply;;2;MATS-001;Vented Hard Hat Type 1 with Georgiou Pad Print;1;EA;13.82;13.82;;N003001;;
ttOrder;3093/M00007;3093/M00007;;;;;;;;;Reali Supply;;3;MATS-001;Cotton Drill Taped Cargo Pants - Nav;2;EA;45.9;45.9;;N003001;;
ttOrder;3093/M00007;3093/M00007;;;;;;;;;Reali Supply;;4;MATS-001;Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy;5;EA;168.65;168.63;;N003001;;
ttOrder;3093/M00007;3093/M00007;;;;;;;;;Reali Supply;;5;MATS-001;Hi Vis Soft Shell Jacket with 3M Tape;1;EA;80.75;80.75;;N003001;;
ttOrder;3093/M00008;3093/M00008;3093/M00008;;Y;N;N;10/08/2023;bstormon;TELC01;Telco Antennas Pty Ltd;AUD;1;MATS-001;Telstra and Optus survey for 4-20 Lorrimer;1;EA;180;160;;N002191;3093;Order Complete
ttOrder;3093/M00009;3093/M00009;3093/M00009;V001;Y;N;Y;24/08/2023;bstormon;JOBF01;Jobfit Health Group Pty Ltd;AUD;1;MATS-001;Jacob Moss - Medical Full;1;EA;629;629;;N001021;3093;Order Complete
ttOrder;3093/M00009;3093/M00009;;;;;;;;;Jobfit Health Group Pty Ltd;;2;MATS-001;Medical;38;EA;38;38;;N001021;;
ttOrder;3093/M00010;3093/M00010;3093/M00010;V002;Y;N;Y;18/08/2023;bstormon;SUC001;Success Realty (QLD);AUD;1;MATS-001;Rent and Bond 44A Gordon;1;EA;4000;3636.36;;N001021;3093;Order Complete
ttOrder;3093/M00010;3093/M00010;;;;;;;;;Success Realty (QLD);;2;MATS-001;Rent and Bond 2/4 Waverley;1;EA;3600;3272.73;;N001021;;
ttOrder;3093/M00010;3093/M00010;;;;;;;;;Success Realty (QLD);;3;MATS-001;Rent and Bond 5/77 Anzac;1;EA;4320;3927.28;;N001021;;
ttOrder;3093/M00010;3093/M00010;;;;;;;;;Success Realty (QLD);;4;MATS-001;Rent and Bond 1/15 Wapiti;1;EA;3090.91;3090.91;;N001021;;
ttOrder;3093/M00010;3093/M00010;;;;;;;;;Success Realty (QLD);;5;MATS-001;Rent and Bond 1/9 Sunning;1;EA;3163.63;3163.63;;N001021;;
ttOrder;3093/M00010;3093/M00010;;;;;;;;;Success Realty (QLD);;6;MATS-001;Rent and Bond 1/46 McGee;1;EA;4000;4000;;N001021;;
ttOrder;3093/M00011;3093/M00011;3093/M00011;;Y;N;Y;15/08/2023;bstormon;ORAC02;Oracle Corporation Aust P/L;AUD;1;MATS-001;Sept-Nov;1;EA;29037.17;29037.16;;N002190;3093;
ttOrder;3093/M00011;3093/M00011;;;;;;;;;Oracle Corporation Aust P/L;;2;MATS-001;Dec-Feb;1;EA;29037.17;0;;N002190;;
ttOrder;3093/M00011;3093/M00011;;;;;;;;;Oracle Corporation Aust P/L;;3;MATS-001;Mar-May;1;EA;29037.17;0;;N002190;;
ttOrder;3093/M00011;3093/M00011;;;;;;;;;Oracle Corporation Aust P/L;;4;MATS-001;June-Aug;1;EA;29037.17;0;;N002190;;
ttOrder;3093/M00011;3093/M00011;;;;;;;;;Oracle Corporation Aust P/L;;5;MATS-001;Sept-Oct;1;EA;19358.11;0;;N002190;;
ttOrder;3093/M00012;3093/M00012;3093/M00012;V001;Y;N;Y;23/08/2023;bstormon;JOBF01;Jobfit Health Group Pty Ltd;AUD;1;MATS-001;Shane Robinson - Full Medical;1;EA;629;629;;N001021;3093;Order Complete
ttOrder;3093/M00012;3093/M00012;;;;;;;;;Jobfit Health Group Pty Ltd;;2;MATS-001;Medical;38;EA;38;38;;N001021;;
ttOrder;3093/M00013;3093/M00013;3093/M00013;V001;Y;N;Y;24/08/2023;bstormon;JOBF01;Jobfit Health Group Pty Ltd;AUD;1;MATS-001;Jobfit Basic Medical - Michael Swadling;1;EA;233;233;;N003001;3093;Order Complete
ttOrder;3093/M00013;3093/M00013;;;;;;;;;Jobfit Health Group Pty Ltd;;2;MATS-001;Medical;10;EA;10;10;;N003001;;
ttOrder;3093/M00014;3093/M00014;3093/M00014;V003;Y;N;Y;10/10/2023;bstormon;MAST09;Master Hire;AUD;1;MATS-001;Contract 142933-01 - Enclosed Furniture;1;EA;413.22;413.22;;N031001;3093;Order Complete
ttOrder;3093/M00014;3093/M00014;;;;;;;;;Master Hire;;2;MATS-001;ENCLOSED FURNITURE TRAILER - TANDEM;1;EA;767.41;767.41;;N031001;;
ttOrder;3093/M00014;3093/M00014;;;;;;;;;Master Hire;;3;MATS-001;ENCLOSED FURNITURE TRAILER - TANDEM;4;EA;545.44;531.28;;N031001;;
ttOrder;3093/M00015;3093/M00015;3093/M00015;V001;Y;N;Y;20/09/2023;cmacdonald;HJDI01;Jaybro Group Pty Ltd (formerl;AUD;1;MATS-001;Prefilled Silt Sausage 200x1300mm of 120 @;120;EA;4678.8;4678.8;;N002110;3093;Order Complete
ttOrder;3093/M00015;3093/M00015;;;;;;;;;Jaybro Group Pty Ltd (formerl;;2;MATS-001;Stake Hardwood 50x25x1200mm Painted;144;EA;936;936;;N002110;;
ttOrder;3093/M00015;3093/M00015;;;;;;;;;Jaybro Group Pty Ltd (formerl;;3;MATS-001;FREIGHT-REGIONAL;1;EA;135;135;;N002110;;
ttOrder;3093/M00015;3093/M00015;;;;;;;;;Jaybro Group Pty Ltd (formerl;;4;MATS-001;REIGHT-REGIONAL;1;EA;345;345;;N001903;;
ttOrder;3093/M00016;3093/M00016;3093/M00016;V001;Y;N;Y;04/09/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;SIGNMM6060] Multi Message Sign 600 x 600mm;24;EA;912;912;;N002110;3093;Order Complete
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;[SIGNMM6060] Multi Message Sign 600 x 600mm;24;EA;1512;1512;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[SIGNMM1230] Multi Message Sign 1200 x 300mm;24;EA;912;912;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;[SIGNCUST] Custom Design Sign - Magnetic;24;EA;450;450;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;SIGNMMF] Multi Message Sign Frame - Black;35;EA;1461.25;1461.25;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;[SIGNBPOD] Safety Sign Bi Pod Multi Message;70;EA;1204;760;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;Delivery - MET;1;EA;17.2;17.2;;N002110;;
ttOrder;3093/M00016;3093/M00016;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;Safety Sign Bi Pod Multi Message Leg Only;30;EA;570;570;;N002110;;
ttOrder;3093/M00017;3093/M00017;3093/M00017;;Y;N;Y;16/08/2023;jmtaylor;BUNN04;Bunnings - QLD;AUD;1;MATS-001;8195/01533508 Tool Box checkerplate;1;EA;301.41;301.41;;N002110;3093;Order Complete
ttOrder;3093/M00017;3093/M00017;;;;;;;;;Bunnings - QLD;;2;MATS-001;Flagging  Tape Measures  Sledge Hammer ;1;EA;367.24;367.24;;N002110;;
ttOrder;3093/M00018;3093/M00018;3093/M00018;;Y;N;Y;16/08/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[T-TOPTOP] T-top Bollard Top Only;100;EA;1090;1090;;N002110;3093;Order Complete
ttOrder;3093/M00018;3093/M00018;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;[T-TOPBASE8] T-top Bollard 8KG Base only;100;EA;1391;1391;;N002110;;
ttOrder;3093/M00018;3093/M00018;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[SMP350FPK] DYMARK Spray and Mark Layout Paint; Fluro Pink 350gram (ea/12box);72;EA;478.09;478.09;;N002110;;
ttOrder;3093/M00018;3093/M00018;;;;;;;;;Tradeline Site Solutions;;4;DEL01;Delivery - Regional;1;NO;32.9;32.9;;N002110;;
ttOrder;3093/M00019;3093/M00019;3093/M00019;;Y;N;Y;17/08/2023;bstormon;OFFI10;Officeworks Superstores P/L;AUD;1;MATS-001;Tablets;15;EA;20413.65;20413.63;;N002190;3093;Order Complete
ttOrder;3093/M00019;3093/M00019;;;;;;;;;Officeworks Superstores P/L;;2;MATS-001;Tablet covers;15;EA;1500;1500;;N002190;;
ttOrder;3093/M00020;3093/M00020;3093/M00020;V001;Y;N;Y;28/08/2023;bstormon;HEAN01;Heaneys Performers in Print;AUD;1;MATS-001;TASK HAZARD REVIEW CARD;728;EA;728;728;;N003001;3093;Order Complete
ttOrder;3093/M00020;3093/M00020;;;;;;;;;Heaneys Performers in Print;;2;MATS-001;Plant stickers;625;EA;625;625;;N003001;;
ttOrder;3093/M00021;3093/M00021;3093/M00021;;Y;N;N;17/08/2023;bstormon;STEL01;Stellar Systems Pty Ltd;AUD;1;MATS-001;Wall Mount Enc 6RU 600W 600D 370H;1;EA;236.12;236.12;;N002190;3093;Order Complete
ttOrder;3093/M00021;3093/M00021;;;;;;;;;Stellar Systems Pty Ltd;;2;MATS-001;Ubiquiti UniFi AC Pro V2 Indoor &;2;EA;456.48;456.48;;N002190;;
ttOrder;3093/M00021;3093/M00021;;;;;;;;;Stellar Systems Pty Ltd;;3;MATS-001;Ubiquiti UniFi Switch Lite 8 PoE  4x PoE;1;EA;221.18;221.18;;N002190;;
ttOrder;3093/M00021;3093/M00021;;;;;;;;;Stellar Systems Pty Ltd;;4;MATS-001;Eaton 5P650iR 5P 650VA / 420W Line;1;EA;626.4;626.4;;N002190;;
ttOrder;3093/M00021;3093/M00021;;;;;;;;;Stellar Systems Pty Ltd;;5;MATS-001;Freight Standard;1;EA;85;85;;N002190;;
ttOrder;3093/M00022;3093/M00022;3093/M00022;;Y;N;Y;18/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;6x shirts;330.27;EA;330.27;330.27;;N003001;3093;Order Complete
ttOrder;3093/M00023;3093/M00023;3093/M00023;;Y;N;Y;18/08/2023;bstormon;RSEA01;RSEA - Road Safety Equipment;AUD;1;MATS-001;Misc. Safety PPE for start up.;1;EA;200;189.71;;N003001;3093;Order Complete
ttOrder;3093/M00024;3093/M00024;3093/M00024;V001;Y;N;Y;03/10/2023;bstormon;BUNN04;Bunnings - QLD;AUD;1;MATS-001;General use for site;20000;EA;20000;11315.49;;N002101;3093;
ttOrder;3093/M00025;3093/M00025;3093/M00025;;Y;N;Y;21/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot;2;EA;385.2;385.2;;N003001;3093;Order Complete
ttOrder;3093/M00025;3093/M00025;;;;;;;;;Reali Supply;;2;MATS-001;Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy;10;EA;337.3;337.3;;N003001;;
ttOrder;3093/M00025;3093/M00025;;;;;;;;;Reali Supply;;3;MATS-001;Cotton Drill Taped Cargo Pants - Navy;10;EA;229.5;229.5;;N003001;;
ttOrder;3093/M00025;3093/M00025;;;;;;;;;Reali Supply;;4;MATS-001;4 in 1 Hi Vis 2 Tone Breathable Taped Jacket with Vest;1;EA;108.14;108.14;;N003001;;
ttOrder;3093/M00025;3093/M00025;;;;;;;;;Reali Supply;;5;MATS-001;Hi Vis Soft Shell Jacket with 3M Tape;1;EA;80.75;80.75;;N003001;;
ttOrder;3093/M00025;3093/M00025;;;;;;;;;Reali Supply;;6;MATS-001;Vented Hard Hat Type 1 with Georgiou Pad Print;2;EA;27.64;27.61;;N003001;;
ttOrder;3093/M00027;3093/M00027;3093/M00027;;Y;N;Y;21/08/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[SIGNSTICK] Custom Sticker 50mm - Georgiou 3093 Toowoomba Flood Recover;50;EA;90;0;;N003001;3093;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;[SIGNSTICK] Custom Sticker 200 x 100mm - Georgiou 3093 Toowoomba Flood Recover;100;EA;450;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[SIGNCUST] Custom Design Sign 1500 x 400mm Alupanel Non-reflective -Georgiou Logo;8;EA;736;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;[SIGN953] Safety Sign 600 x 450mm Alupanel Non-reflective - Site Office;8;EA;304;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;[SIGN218] Safety Sign 600 x 450mm - DANGER Keep Out Authorised Personnel Only - Alupanel Non-reflective;8;EA;304;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;[SIGNSEC] Safety Sign 600 x 450mm - Security Notice Surveillance Cameras In Use - Alupanel Non-reflective;8;EA;304;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;[TC1170] Multi Message Sign 600 x 600mm Class 1 Aluminium - End Road Work;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;[TC1169] Multi Message Sign 600 x 600mm Class 1 Aluminium - Road Work Ahead;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;9;MATS-001;[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 40km Speed Limit;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;10;MATS-001;[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 60km Speed Limit;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;11;MATS-001;[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 80km Speed Limit;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;12;MATS-001;[SIGNMM6060] Multi Message Sign 600 x 600mm Class 1 Aluminium - 100km Speed Limit;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;13;MATS-001;[TC1220] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Reduce Speed;30;EA;1350;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;14;MATS-001;[TC1177] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Drive Safely;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;15;MATS-001;[TC1173] Multi Message Sign 600 x 600mm Class 1 Aluminium - Prepare To Stop;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;16;MATS-001;[TC332] Multi Message Sign 600 x 600mm Class 1 Aluminium - Man Digging Symbol;30;EA;1530;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;17;MATS-001;[TC1216] Multi Message Sign 600 x 600mm Class 1 Aluminium - Traffic Lights Ahead Symbol;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;18;MATS-001;[TC1174] Multi Message Sign 1200 x 300mm Class 1 Aluminium - Do Not Overtake;20;EA;900;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;19;MATS-001;[SNBXRF9X6] Boxed Edge Refl Cl1W - 900 x 600 - Gas Pipeline  No Vibration;4;EA;300;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;20;MATS-001;[SIGNBPOD] Safety Sign Bi Pod Multi Message Leg Only (1);8;EA;168.53;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;21;MATS-001;[STICKFIRE] Hard Hat Stickers - (12 on sheet) - Fire Warden;1;EA;23.29;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;22;MATS-001;[STICK500] Hard Hat Stickers - (12 on sheet) - First Aid;1;EA;23.29;0;;N003001;;
ttOrder;3093/M00027;3093/M00027;;;;;;;;;Tradeline Site Solutions;;23;DEL01;Delivery - Regional;1;NO;32.9;0;;N003001;;
ttOrder;3093/M00028;3093/M00028;3093/M00028;;Y;N;Y;21/08/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[SIGNSTICK] Custom Sticker 50mm - Georgiou 3093 Toowoomba Flood Recover;50;EA;90;90;;N008100;3093;Order Complete
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;[SIGNSTICK] Custom Sticker 200 x 100mm - Georgiou 3093 Toowoomba Flood Recover;100;EA;450;450;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[SIGNCUST] Custom Design Sign 1500 x 400mm Alupanel Non-reflective -Georgiou Logo;8;EA;736;736;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;[SIGN953] Safety Sign 600 x 450mm Alupanel Non-reflective - Site Office;8;EA;304;304;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;[SIGN218] Safety Sign 600 x 450mm - DANGER Keep Out Authorised Personnel Only - Alupanel Non-reflective;8;EA;304;304;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;[SIGNSEC] Safety Sign 600 x 450mm - Security Notice Surveillance Cameras In Use - Alupanel Non-reflective;8;EA;304;304;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;[SNBXRF9X6] Boxed Edge Refl Cl1W - 900 x 600 - Gas Pipeline  No Vibration;4;EA;300;300;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;[SIGNBPOD] Safety Sign Bi Pod Multi Message Leg Only (1);8;EA;168.53;168.53;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;9;MATS-001;[STICKFIRE] Hard Hat Stickers - (12 on sheet) - Fire Warden;1;EA;23.29;23.29;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;10;MATS-001;[STICK500] Hard Hat Stickers - (12 on sheet) - First Aid;1;EA;23.29;23.29;;N008100;;
ttOrder;3093/M00028;3093/M00028;;;;;;;;;Tradeline Site Solutions;;11;MATS-001;Delivery - Regional;1;EA;32.9;32.9;;N008100;;
ttOrder;3093/M00029;3093/M00029;3093/M00029;;Y;N;N;22/08/2023;bstormon;ADOB01;Adobe Systems Software Irelan;AUD;1;MATS-001;ACROBAT PRO SUBSCRPT ALL MLP License;9;EA;271.98;271.98;;N002190;3093;Order Complete
ttOrder;3093/M00031;3093/M00031;3093/M00031;;Y;N;Y;23/08/2023;bstormon;TRAD10;Tradeline Site Solutions;AUD;1;MATS-001;[YELMANUP] 1200 x 1800mm Coreflute Yellow Man Cut Out - Pointing Up;20;EA;1085.78;1085.78;;N008100;3093;Order Complete
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;2;MATS-001;SIGNSTICK] Custom Sticker A4 (to suit yellow men) - DANGER Overhead Powerlines ___m;20;EA;56.2;56.2;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;3;MATS-001;[FSTAIDCS30] Snake and Spider Bite First Aid Kit - Soft Pack;10;EA;327.94;327.94;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;4;MATS-001;[FSTAID220] First Aid Kit 1-25 Person - Plastic Portable Case;10;EA;1092.42;1092.42;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;5;MATS-001;GLVCLIP] Glove Guard Clip;100;EA;331.48;331.48;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;6;MATS-001;GLVPAN-09] Ripper Gripper Gloves Lightweight - Size 9 - Large (ea/12pack);108;EA;240.59;240.59;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;7;MATS-001;[SPECSCL] Safety Specs - Clear (ea/12Box);108;EA;219.77;219.77;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;8;MATS-001;SPECSBL] Safety Specs - Smoked (ea/12Box);108;EA;219.77;219.77;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;9;MATS-001;[DUSTP2V] P2 Dust Masks w/- Valve (Box of 10);10;EA;375.36;375.36;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;10;MATS-001;PLASTICBRIM-O] Hard Hat Plastic Snap Brim w/- neck flap ORANGE;20;EA;415.12;415.12;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;11;MATS-001;SUNSCR1LT] Sunscreen 1L Pump Pack 50+ (ea/6 per box);12;EA;282.75;282.75;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;12;MATS-001;[SIGN1290CUSC] Safety Sign 1200 x 900mm Coreflute - Georgiou Construction Site;10;EA;750;750;;N008100;;
ttOrder;3093/M00031;3093/M00031;;;;;;;;;Tradeline Site Solutions;;13;DEL01;Delivery - Regional;1;NO;32.9;32.9;;N008100;;
ttOrder;3093/M00032;3093/M00032;3093/M00032;;Y;N;Y;23/08/2023;bstormon;REA001;Reali Supply;AUD;1;MATS-001;Men's Lightweight Taped Two Tone Long Sleeve;5;EA;168.63;168.63;;N003001;3093;Order Complete
ttOrder;3093/M00032;3093/M00032;;;;;;;;;Reali Supply;;2;MATS-001;Career Mens Contemporary Fit Long Sleeve;1;EA;62.4;62.4;;N003001;;
ttOrder;3093/M00032;3093/M00032;;;;;;;;;Reali Supply;;3;MATS-001;312652 Argyle Zip TPU Scuff Cap Boot - Wheat;1;EA;154.5;154.5;;N003001;;
ttOrder;3093/M00033;3093/M00033;3093/M00033;;Y;N;Y;25/08/2023;ajeffery;EUR003;Europcar WA;AUD;1;MATS-001;Hire 4x4 tray back for Jamie Taylor;1;EA;600;0;;N002110;3093;Order Complete
ttOrder;3093/M00034;3093/M00034;3093/M00034;V001;Y;N;Y;05/09/2023;bstormon;THE078;THE TRUSTEE FOR BEVELUCK NO 2;AUD;1;MATS-001;5x furniture for houses;12554.54;EA;12554.54;12554.54;;N031001;3093;Order Complete
ttOrder;3093/M00034;3093/M00034;;;;;;;;;THE TRUSTEE FOR BEVELUCK NO 3;;2;MATS-001;Dryers;1227.27;EA;1227.27;1227.27;;N031001;;
ttOrder;3093/M00035;3093/M00035;3093/M00035;;Y;N;Y;28/08/2023;bstormon;KONN01;Konnect;AUD;1;MATS-001;Safety Glasses Tsunami Smoke Lens;24;EA;36;36;;N003001;3093;Order Complete
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;2;MATS-001;Hard Hat V9 Vented Pushlock;10;EA;112;112;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;3;MATS-001;HARD HAT PLASTIC BRIM FLURO ORANGE;10;EA;128;128;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;4;MATS-001;Gloves Riggamate Natural Cowgrain;20;EA;94;94;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;5;MATS-001;Prosense Sand Grip Glove Size 10;120;EA;308.4;308.4;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;6;MATS-001;Pro-Bullet Disposable Uncorded;4;EA;119.92;119.92;;N003001;;
ttOrder;3093/M00035;3093/M00035;;;;;;;;;Konnect;;7;MATS-001;Respirator P2 with Valve Box 12;10;EA;182.9;182.9;;N003001;;
